time	V(out)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968359375000001e-04	4.968856e-15
4.980733428021121e-04	1.657152e-05
4.986004864882820e-04	1.704657e-04
4.987933878782246e-04	5.116566e-04
4.988943408744085e-04	1.020800e-03
4.989947903967217e-04	1.960855e-03
4.990991404464361e-04	3.537003e-03
4.992480158634113e-04	7.022850e-03
4.994260701281061e-04	1.348050e-02
4.996747891338825e-04	2.739166e-02
5.000000000000000e-04	5.130357e-02
5.000979868381385e-04	6.036530e-02
5.002286359556564e-04	7.174300e-02
5.004899341906924e-04	9.226561e-02
5.010125306607643e-04	1.264783e-01
5.019813476747963e-04	1.759339e-01
5.029163692350620e-04	2.106461e-01
5.042929509553754e-04	2.457845e-01
5.057788894686317e-04	2.715790e-01
5.079200668052341e-04	2.958346e-01
5.104049755782190e-04	3.139319e-01
5.140422573613750e-04	3.302552e-01
5.185210254597266e-04	3.424063e-01
5.252143141382586e-04	3.528842e-01
5.339605411890931e-04	3.608110e-01
5.437261661890931e-04	3.659903e-01
5.730230411890931e-04	3.729142e-01
6.511480411890932e-04	3.782294e-01
9.734136661890935e-04	3.816010e-01
1.500000000000000e-03	3.824262e-01
1.510000000000000e-03	3.824262e-01
9.539296874999839e-03	3.824262e-01
9.998281249999829e-03	3.824262e-01
1.000000000000000e-02	3.824262e-01
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.968359375000001e-04	4.968856e-15
4.980733420938148e-04	8.593164e-04
4.986004666560886e-04	3.314211e-03
4.988246078732175e-04	6.641981e-03
4.990139376410722e-04	1.220080e-02
4.992097525971240e-04	2.156682e-02
4.995164043106663e-04	4.413291e-02
4.999607037863902e-04	8.702013e-02
5.000627153429404e-04	9.903242e-02
5.001881460288211e-04	1.131780e-01
5.004390074005825e-04	1.378592e-01
5.009407301441054e-04	1.774321e-01
5.016472281515077e-04	2.188134e-01
5.024694955443902e-04	2.522512e-01
5.034921523469463e-04	2.800901e-01
5.047705294758397e-04	3.029410e-01
5.064715414252658e-04	3.223547e-01
5.086896143206574e-04	3.380524e-01
5.117210940894228e-04	3.509006e-01
5.158418155394834e-04	3.610330e-01
5.217208654293910e-04	3.691062e-01
5.301232866132355e-04	3.754250e-01
5.496545366132355e-04	3.818590e-01
5.984826616132356e-04	3.866970e-01
8.133264116132357e-04	3.900783e-01
1.500000000000000e-03	3.911272e-01
1.510000000000000e-03	3.911272e-01
9.549062499999839e-03	3.911272e-01
9.998281249999829e-03	3.911272e-01
1.000000000000000e-02	3.911272e-01
Step Information: Run=3  (Run: 3/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
5.000186080187698e-04	6.051559e-06
5.049167187659119e-04	6.574751e-04
5.098340377904938e-04	1.255430e-03
5.195996627904939e-04	2.335881e-03
5.293652877904939e-04	3.298889e-03
5.391309127904939e-04	4.148102e-03
5.488965377904939e-04	4.902945e-03
5.586621627904939e-04	5.578248e-03
5.684277877904939e-04	6.185900e-03
5.879590377904939e-04	7.235070e-03
6.074902877904939e-04	8.108824e-03
6.367871627904940e-04	9.175817e-03
6.660840377904940e-04	1.002848e-02
7.051465377904940e-04	1.093019e-02
7.539746627904941e-04	1.179593e-02
8.223340377904941e-04	1.269021e-02
9.102246627904942e-04	1.350387e-02
1.037177787790494e-03	1.429716e-02
1.222724662790494e-03	1.502834e-02
1.500000000000000e-03	1.567064e-02
1.510000000000000e-03	1.567064e-02
9.500234374999840e-03	1.567064e-02
9.998281249999829e-03	1.567064e-02
1.000000000000000e-02	1.567064e-02
Step Information: Run=4  (Run: 4/100)
0.000000000000000e+00	0.000000e+00
4.900000000000001e-04	4.900490e-15
4.954658851159960e-04	9.235786e-06
4.955198495071444e-04	5.903023e-05
4.955454070716829e-04	1.109436e-04
4.955733286327875e-04	1.995295e-04
4.956140163302871e-04	3.999262e-04
4.956652169848780e-04	7.907794e-04
4.957271386753483e-04	1.528409e-03
4.958056134190087e-04	2.980715e-03
